customer_id,location_name,latitude,longitude,demand
1,Mansarovar Relief Center,26.8500,75.7600,45
2,Vaishali Nagar Community Shelter,26.9050,75.7420,35
3,Malviya Nagar Camp,26.8540,75.8150,50
4,C-Scheme Emergency Hub,26.9100,75.8020,30
5,Amer Relief Point,26.9850,75.8500,60
6,Sanganer Distribution Post,26.8150,75.7700,40
7,Vidyadhar Nagar Shelter,26.9600,75.7800,35
8,Jagatpura Relief Camp,26.8200,75.8450,55
9,Jhotwara Logistics Center,26.9400,75.7200,40
10,Raja Park Supply Point,26.8920,75.8280,25
11,Sitapura Medical Post,26.7750,75.8350,45
12,Ajmer Road Transit Camp,26.8800,75.6900,35
